#pixelIndex	x	y	bupId	age	sex	instigator
759	59	7	16080	22	1	0
760	60	7	5477	22	1	0
761	61	7	9269	22	1	0
762	62	7	13475	22	1	0
763	63	7	7376	22	1	0
764	64	7	5882	22	1	0
765	65	7	11506	22	1	0
766	66	7	3362	22	1	0
767	67	7	4338	22	1	0
768	68	7	8794	22	1	0
769	69	7	4671	22	1	0
770	70	7	3784	22	1	0
771	71	7	3726	22	1	0
772	72	7	808	21	1	0
773	73	7	12005	21	1	0
774	74	7	6054	21	1	0
775	75	7	6276	21	1	0
776	76	7	3207	21	1	0
777	77	7	5309	21	1	0
778	78	7	5310	21	1	0
779	79	7	6909	21	1	0
780	80	7	3452	22	0	3
781	81	7	11307	22	0	3
782	82	7	12990	22	0	2
783	83	7	4553	22	0	2
784	84	7	4977	22	0	2
785	85	7	2582	22	0	2
786	86	7	4629	22	0	2
787	87	7	9509	21	0	2
788	88	7	4902	21	0	2
789	89	7	2586	22	0	1
790	90	7	5426	22	0	1
791	91	7	5920	22	0	1
792	92	7	880	22	0	1
793	93	7	4340	22	0	0
794	94	7	9121	22	0	0
795	95	7	6050	21	0	0
796	96	7	5677	21	0	0
797	97	7	5601	21	0	0
798	98	7	5602	21	0	0
799	99	7	4439	21	0	0
800	0	8	13950	21	2	2
801	1	8	13666	21	2	2
802	2	8	16331	21	2	2
803	3	8	5786	21	2	2
804	4	8	15290	21	2	2
805	5	8	660	21	2	2
806	6	8	3946	21	2	2
807	7	8	3815	21	2	1
808	8	8	3829	21	2	1
809	9	8	966	21	2	1
810	10	8	20018	21	2	0
811	11	8	3306	21	2	0
812	12	8	3307	21	2	0
813	13	8	9256	21	2	0
814	14	8	11972	21	2	0
815	15	8	9976	21	2	0
816	16	8	12358	21	2	0
817	17	8	11319	21	2	0
818	18	8	2295	21	1	3
819	19	8	14183	21	1	3
820	20	8	2336	21	1	2
821	21	8	2650	21	1	2
822	22	8	17761	21	1	2
823	23	8	5805	21	1	2
824	24	8	3645	21	1	2
825	25	8	2601	21	1	2
826	26	8	4133	21	1	2
827	27	8	4678	21	1	2
828	28	8	17901	21	1	2
829	29	8	2647	21	1	2
830	30	8	5355	21	1	2
831	31	8	241	21	1	2
832	32	8	13961	21	1	2
833	33	8	5407	21	1	2
834	34	8	12062	21	1	2
835	35	8	4229	21	1	2
836	36	8	5652	21	1	2
837	37	8	624	21	1	2
838	38	8	3052	21	1	2
839	39	8	4707	21	1	2
840	40	8	335	21	1	2
841	41	8	14301	21	1	2
842	42	8	15542	21	1	2
843	43	8	3332	21	1	2
844	44	8	19750	21	1	1
845	45	8	19906	21	1	1
846	46	8	10224	21	1	1
847	47	8	9081	21	1	1
848	48	8	5427	21	1	1
849	49	8	19737	21	1	1
850	50	8	5734	21	1	1
851	51	8	8903	21	1	1
852	52	8	13977	21	1	1
853	53	8	2945	21	1	1
854	54	8	2400	21	1	1
855	55	8	1051	21	1	1
856	56	8	2545	21	1	1
857	57	8	2855	21	1	0
